time_ms,t_s,voltage_V,Rs_ohm,temp_C,humidity_pct,pressure_hPa
2714697,0.0,0.5567,79817.0,24.83,48.14,993.97
2716697,2.0,0.5576,79666.0,24.83,48.14,993.98
2718697,4.0,0.5567,79817.0,24.83,48.0,993.99
2720697,6.0,0.5567,79817.0,24.83,48.12,993.98
2722697,8.0,0.5567,79817.0,24.83,48.13,993.99
2724697,10.0,0.5573,79726.3,24.82,48.13,993.97
2726697,12.0,0.5563,79877.5,24.82,48.13,993.96
2728697,14.0,0.5571,79756.5,24.82,48.1,993.95
2730697,16.0,0.5565,79847.3,24.83,48.11,993.94
2732697,18.0,0.5567,79817.0,24.83,48.09,993.95
2734697,20.0,0.5574,79696.2,24.83,48.11,993.99
2736697,22.0,0.5565,79847.3,24.83,48.11,993.96
2738697,24.0,0.5574,79696.2,24.83,48.11,993.98
2740697,26.0,0.5569,79786.8,24.83,48.08,993.95
2742697,28.0,0.5574,79696.2,24.83,48.07,993.95
2744697,30.0,0.5571,79756.5,24.83,48.11,993.97
2746697,32.0,0.5567,79817.0,24.83,48.14,993.97
2748697,34.0,0.5567,79817.0,24.83,48.14,993.98
2750697,36.0,0.5563,79877.5,24.83,48.14,993.96
2752697,38.0,0.5571,79756.5,24.83,48.16,993.97
2754697,40.0,0.5569,79786.8,24.83,48.16,993.98
2756697,42.0,0.5563,79877.5,24.83,48.04,993.98
2758697,44.0,0.5567,79817.0,24.83,48.17,993.97
2760697,46.0,0.5567,79817.0,24.83,48.17,993.96
2762697,48.0,0.5558,79968.5,24.83,48.12,993.98
2764697,50.0,0.5559,79938.2,24.83,48.14,993.96
2766697,52.0,0.5563,79877.5,24.84,48.12,993.99
2768697,54.0,0.5559,79938.2,24.83,48.12,993.96
2770697,56.0,0.5539,80273.1,24.83,48.13,993.96
2772697,58.0,0.5546,80151.0,24.83,48.1,994.02
2774697,60.0,0.5548,80120.5,24.83,48.1,993.97
2776697,62.0,0.5554,80029.3,24.83,48.11,993.97
2778697,64.0,0.5546,80151.0,24.83,48.13,994.0
2780697,66.0,0.5546,80151.0,24.83,48.13,993.96
2782697,68.0,0.5541,80242.5,24.83,48.13,993.99
2784697,70.0,0.5546,80151.0,24.84,48.12,993.98
2786697,72.0,0.5548,80120.5,24.83,48.12,993.96
2788697,74.0,0.5546,80151.0,24.83,48.17,993.96
2790697,76.0,0.5554,80029.3,24.84,48.15,993.97
2792697,78.0,0.5543,80212.0,24.83,48.15,993.98
2794697,80.0,0.5531,80395.5,24.83,47.97,993.98
2796697,82.0,0.5361,83272.7,24.83,48.11,994.0
2798697,84.0,0.5177,86583.4,24.83,48.1,993.98
2812697,98.0,0.5049,89022.1,24.84,48.18,993.97
2814697,100.0,0.5244,85340.3,24.84,48.16,993.97
2816697,102.0,0.5331,83797.6,24.83,48.16,993.94
2818697,104.0,0.5454,81669.5,24.84,48.18,993.99
2820697,106.0,0.5496,80981.5,24.84,48.18,993.97
2822697,108.0,0.5535,80334.2,24.84,48.19,993.97
2824697,110.0,0.5544,80181.5,24.84,48.19,993.98
2826697,112.0,0.5554,80029.3,24.84,48.2,993.96
2828697,114.0,0.5563,79877.5,24.84,48.22,993.97
2830697,116.0,0.5561,79907.8,24.84,48.2,993.98
2832697,118.0,0.5558,79968.5,24.84,48.21,993.96
2834697,120.0,0.5559,79938.2,24.84,48.2,993.96
2836697,122.0,0.5556,79998.9,24.84,48.19,993.97
2838697,124.0,0.5548,80120.5,24.83,48.37,993.96
2840697,126.0,0.5552,80059.7,24.83,48.22,993.99
2842697,128.0,0.5554,80029.3,24.84,48.24,993.98
2844697,130.0,0.555,80090.1,24.84,48.15,993.98
2846697,132.0,0.5544,80181.5,24.83,48.25,994.0
2848697,134.0,0.5548,80120.5,24.84,48.24,993.99
2850697,136.0,0.5552,80059.7,24.83,48.21,994.01
2852697,138.0,0.5554,80029.3,24.83,48.19,993.97
2854697,140.0,0.5548,80120.5,24.84,48.18,994.01
2856697,142.0,0.5546,80151.0,24.83,48.18,993.98
2858697,144.0,0.5554,80029.3,24.84,48.18,993.97
2860697,146.0,0.5546,80151.0,24.84,48.18,993.99
2862697,148.0,0.5543,80212.0,24.85,48.18,993.98
2864697,150.0,0.555,80090.1,24.83,48.19,993.96
2866697,152.0,0.5554,80029.3,24.84,48.19,993.98
2868697,154.0,0.5561,79907.8,24.84,48.18,993.97
2870697,156.0,0.5554,80029.3,24.84,48.15,994.01
2872697,158.0,0.5563,79877.5,24.84,48.18,993.97
2874697,160.0,0.5554,80029.3,24.84,48.19,994.01
2876697,162.0,0.5554,80029.3,24.85,48.2,994.02
2878697,164.0,0.5563,79877.5,24.85,48.2,993.99
2880697,166.0,0.5559,79938.2,24.84,48.2,993.97
2882697,168.0,0.5559,79938.2,24.84,48.3,993.99
2884697,170.0,0.5563,79877.5,24.84,48.18,994.01
2886697,172.0,0.5559,79938.2,24.85,48.18,993.98
2888697,174.0,0.5554,80029.3,24.84,48.16,993.99
2890697,176.0,0.5554,80029.3,24.84,48.15,993.97
2892697,178.0,0.5571,79756.5,24.84,48.16,993.96
2894697,180.0,0.5554,80029.3,24.84,48.16,993.97
2896697,182.0,0.5567,79817.0,24.84,48.15,994.0
2898697,184.0,0.5558,79968.5,24.85,48.15,994.01
2900697,186.0,0.5567,79817.0,24.84,48.16,993.99
2902697,188.0,0.5563,79877.5,24.84,48.18,994.0
2904697,190.0,0.5573,79726.3,24.84,48.18,993.96
2906697,192.0,0.5569,79786.8,24.84,48.19,993.97
2908697,194.0,0.5563,79877.5,24.84,48.19,993.99
2910697,196.0,0.5574,79696.2,24.84,48.21,994.0
2912697,198.0,0.5563,79877.5,24.84,48.22,993.98
2914697,200.0,0.5569,79786.8,24.85,48.22,993.98
2916697,202.0,0.5569,79786.8,24.85,48.21,993.99
2918697,204.0,0.5565,79847.3,24.85,48.21,993.99
2920697,206.0,0.5567,79817.0,24.84,48.35,993.98
2922697,208.0,0.5563,79877.5,24.84,48.22,993.96
2924697,210.0,0.5563,79877.5,24.85,48.23,994.02
2926697,212.0,0.5569,79786.8,24.85,48.2,993.97
2928697,214.0,0.5565,79847.3,24.84,48.2,993.98
2930697,216.0,0.5567,79817.0,24.84,48.19,993.97
2932697,218.0,0.5567,79817.0,24.85,48.16,993.98
2934697,220.0,0.5563,79877.5,24.85,48.15,994.0
2936697,222.0,0.5563,79877.5,24.85,48.15,994.0
2938697,224.0,0.5565,79847.3,24.85,48.18,993.98
2940697,226.0,0.5563,79877.5,24.85,48.2,994.01
2942697,228.0,0.5567,79817.0,24.85,48.16,994.02
2944697,230.0,0.5567,79817.0,24.85,48.19,994.01
2946697,232.0,0.5565,79847.3,24.85,48.18,994.01
2948697,234.0,0.5565,79847.3,24.84,48.16,993.99
2950697,236.0,0.5567,79817.0,24.84,48.19,994.0
2952697,238.0,0.5567,79817.0,24.85,48.18,994.0
2954697,240.0,0.5567,79817.0,24.85,48.18,993.99
2956697,242.0,0.5565,79847.3,24.85,48.15,993.99
2958697,244.0,0.5563,79877.5,24.85,48.1,994.01
2960697,246.0,0.5558,79968.5,24.85,48.14,994.01
2962697,248.0,0.5563,79877.5,24.85,48.15,993.99
