time_ms,voltage_V,Rs_ohm,temp_C,humidity_pct,pressure_hPa
2012,-0.0008,0.0,25.29,47.63,993.92
4012,-0.0004,0.0,25.29,47.58,993.99
6012,-0.0006,0.0,25.28,47.58,993.93
8012,0.0000,0.0,25.28,47.56,993.92
10012,0.0006,0.0,25.28,47.57,993.92
12012,-0.0006,0.0,25.28,47.57,993.90
14012,-0.0002,0.0,25.28,47.57,993.92
16012,-0.0002,0.0,25.27,47.57,993.91
18012,0.0000,0.0,25.27,47.56,993.94
20012,0.0011,44434448.0,25.28,47.54,993.92
22012,0.0006,0.0,25.28,47.52,993.92
24012,0.0004,0.0,25.27,47.51,993.91
26012,0.0004,0.0,25.27,47.60,993.94
28012,0.0006,0.0,25.27,47.69,993.94
30012,0.0002,0.0,25.28,47.75,993.93
32012,0.0002,0.0,25.29,47.83,993.92
34012,0.0006,0.0,25.30,48.59,993.91
36012,0.0002,0.0,25.38,57.67,993.96
42679,0.0000,0.0,25.39,51.20,993.92
42698,-0.0006,0.0,25.39,51.20,993.92
44697,-0.0008,0.0,25.40,52.77,993.94
46697,-0.0004,0.0,25.38,50.63,993.93
49384,0.0000,0.0,25.38,50.58,993.93
50694,0.0000,0.0,25.38,50.00,993.95
54623,0.0000,0.0,25.39,49.49,993.94
54697,0.5531,80395.5,25.39,49.54,993.91
56697,0.5535,80334.2,25.39,49.48,993.93
58697,0.5539,80273.1,25.39,49.44,993.95
60697,0.5541,80242.5,25.40,49.48,993.94
62697,0.5539,80273.1,25.40,49.45,993.95
64697,0.5544,80181.5,25.39,49.02,993.98
66697,0.5548,80120.5,25.39,48.80,993.95
68697,0.5554,80029.3,25.39,48.66,993.94
70697,0.5554,80029.3,25.38,48.66,993.94
72697,0.5554,80029.3,25.37,48.55,993.92
74697,0.5552,80059.7,25.38,48.44,993.95
76697,0.5546,80151.0,25.37,48.23,993.94
78697,0.5544,80181.5,25.37,48.13,993.95
80697,0.5541,80242.5,25.36,48.14,993.91
82697,0.5541,80242.5,25.37,48.14,993.92
84697,0.5539,80273.1,25.36,48.14,993.96
86697,0.5539,80273.1,25.36,48.12,993.94
88697,0.5535,80334.2,25.36,48.06,993.96
90697,0.5535,80334.2,25.36,48.01,993.96
92697,0.5541,80242.5,25.35,48.01,993.97
94697,0.5526,80487.5,25.35,48.02,993.93
96697,0.5527,80456.8,25.35,47.95,993.95
98697,0.5533,80364.9,25.35,47.94,993.97
100697,0.5527,80456.8,25.34,47.92,993.94
102697,0.5531,80395.5,25.34,47.88,993.92
104697,0.5533,80364.9,25.34,47.83,993.95
106697,0.5533,80364.9,25.33,47.85,993.91
108697,0.5531,80395.5,25.33,47.83,993.93
110697,0.5535,80334.2,25.33,47.81,993.96
112697,0.5537,80303.6,25.33,47.78,993.96
114697,0.5537,80303.6,25.33,47.79,993.96
116697,0.5541,80242.5,25.32,47.78,993.94
118697,0.5537,80303.6,25.32,47.78,993.95
120697,0.5537,80303.6,25.32,47.77,993.90
122697,0.5531,80395.5,25.32,47.75,993.92
124697,0.5535,80334.2,25.32,47.73,993.91
