time_s,ch4_ppm,temp_C,humidity_pct
0,1.9004,20.00,50.00
1,2.0060,20.01,50.14
2,1.8070,20.02,50.28
3,1.5927,20.03,50.42
4,1.7467,20.04,50.56
5,1.5602,20.05,50.70
6,1.9298,20.06,50.84
7,2.3793,20.07,50.97
8,1.7394,20.08,51.11
9,1.6959,20.09,51.25
10,2.0860,20.10,51.39
11,2.0409,20.11,51.53
12,1.9543,20.12,51.66
13,1.5932,20.13,51.80
14,1.9101,20.14,51.94
15,2.1651,20.15,52.07
16,1.4528,20.16,52.21
17,1.7645,20.17,52.34
18,1.2607,20.18,52.47
19,1.4762,20.19,52.60
20,1.2844,20.20,52.74
21,1.8482,20.21,52.87
22,1.4883,20.22,53.00
23,2.0283,20.23,53.13
24,1.9897,20.24,53.25
25,1.8708,20.25,53.38
26,1.0568,20.26,53.51
27,1.7506,20.27,53.63
28,1.9236,20.28,53.76
29,1.9816,20.29,53.88
30,1.4079,20.30,54.00
31,1.7776,20.31,54.12
32,1.6038,20.32,54.24
33,1.6646,20.33,54.36
34,2.3204,20.34,54.47
35,1.6679,20.35,54.59
36,1.9406,20.36,54.70
37,2.2629,20.37,54.81
38,1.7506,20.38,54.93
39,1.9171,20.39,55.03
40,1.9963,20.40,55.14
41,1.9814,20.41,55.25
42,1.5317,20.42,55.35
43,1.9885,20.43,55.46
44,2.4389,20.44,55.56
45,1.4232,20.45,55.66
46,2.2669,20.46,55.75
47,2.0093,20.47,55.85
48,1.7444,20.48,55.95
49,2.6705,20.49,56.04
50,2.2385,20.50,56.13
51,1.5533,20.51,56.22
52,2.0006,20.52,56.30
53,2.1777,20.53,56.39
54,1.9112,20.54,56.47
55,2.2177,20.55,56.55
56,1.9567,20.56,56.63
57,2.2149,20.57,56.71
58,2.4862,20.58,56.78
59,1.7477,20.59,56.86
60,2.0566,20.60,56.93
61,1.8247,20.61,57.00
62,2.0328,20.62,57.06
63,1.5741,20.63,57.13
64,1.7882,20.64,57.19
65,1.9236,20.65,57.25
66,2.3082,20.66,57.31
67,2.3958,20.67,57.36
68,1.5331,20.68,57.42
69,1.7196,20.69,57.47
70,2.2254,20.70,57.52
71,1.3030,20.71,57.56
72,1.8396,20.72,57.61
73,1.9690,20.73,57.65
74,2.4443,20.74,57.69
75,2.2469,20.75,57.73
76,1.8924,20.76,57.76
77,1.8793,20.77,57.79
78,1.9220,20.78,57.83
79,2.5441,20.79,57.85
80,1.8624,20.80,57.88
81,1.9072,20.81,57.90
82,2.1382,20.82,57.92
83,1.9738,20.83,57.94
84,1.9483,20.84,57.96
85,1.6287,20.85,57.97
86,2.0159,20.86,57.98
87,1.8659,20.87,57.99
88,2.4306,20.88,58.00
89,2.2523,20.89,58.00
90,2.0165,20.90,58.00
91,2.2602,20.91,58.00
92,1.9086,20.92,58.00
93,2.3970,20.93,57.99
94,2.0281,20.94,57.98
95,2.2354,20.95,57.97
96,1.5807,20.96,57.96
97,2.1550,20.97,57.94
98,1.4441,20.98,57.92
99,1.3238,20.99,57.90
100,1.9308,21.00,57.88
101,1.7236,21.01,57.85
102,2.0972,21.02,57.83
103,2.8267,21.03,57.79
104,1.7511,21.04,57.76
105,1.8250,21.05,57.73
106,2.1165,21.06,57.69
107,2.2183,21.07,57.65
108,1.9852,21.08,57.61
109,1.9760,21.09,57.56
110,2.2952,21.10,57.52
111,2.2324,21.11,57.47
112,1.6898,21.12,57.42
113,2.0251,21.13,57.36
114,2.0663,21.14,57.31
115,1.6860,21.15,57.25
116,2.1471,21.16,57.19
117,1.7570,21.17,57.13
118,2.3987,21.18,57.06
119,2.1270,21.19,57.00
120,10.1999,21.20,56.93
121,11.7926,21.21,56.86
122,10.2477,21.22,56.78
123,8.8736,21.23,56.71
124,6.8470,21.24,56.63
125,10.1465,21.25,56.55
126,6.1515,21.26,56.47
127,7.9133,21.27,56.39
128,10.0361,21.28,56.30
129,10.7145,21.29,56.22
130,9.0091,21.30,56.13
131,7.4912,21.31,56.04
132,9.0567,21.32,55.95
133,8.0627,21.33,55.85
134,10.7993,21.34,55.75
135,13.0367,21.35,55.66
136,9.7792,21.36,55.56
137,8.3743,21.37,55.46
138,7.8917,21.38,55.35
139,9.0986,21.39,55.25
140,9.6639,21.40,55.14
141,7.7861,21.41,55.03
142,9.6558,21.42,54.93
143,7.7012,21.43,54.81
144,10.7890,21.44,54.70
145,10.4957,21.45,54.59
146,11.4134,21.46,54.47
147,8.8345,21.47,54.36
148,10.5503,21.48,54.24
149,9.3527,21.49,54.12
150,8.7623,21.50,54.00
151,8.9584,21.51,53.88
152,7.5922,21.52,53.76
153,7.5991,21.53,53.63
154,10.4609,21.54,53.51
155,9.1694,21.55,53.38
156,9.3383,21.56,53.25
157,10.5901,21.57,53.13
158,7.7927,21.58,53.00
159,8.2496,21.59,52.87
160,9.4004,21.60,52.74
161,10.1783,21.61,52.60
162,9.5244,21.62,52.47
163,10.4055,21.63,52.34
164,9.7467,21.64,52.21
165,7.6940,21.65,52.07
166,7.6779,21.66,51.94
167,10.8756,21.67,51.80
168,10.1539,21.68,51.66
169,7.0260,21.69,51.53
170,11.0831,21.70,51.39
171,10.5032,21.71,51.25
172,11.1534,21.72,51.11
173,8.9819,21.73,50.97
174,8.7626,21.74,50.84
175,7.6139,21.75,50.70
176,13.4099,21.76,50.56
177,9.1362,21.77,50.42
178,11.7756,21.78,50.28
179,8.6719,21.79,50.14
180,9.6155,21.80,50.00
181,7.1371,21.81,49.86
182,9.2603,21.82,49.72
183,10.7636,21.83,49.58
184,7.8255,21.84,49.44
185,10.9968,21.85,49.30
186,10.4179,21.86,49.16
187,8.3968,21.87,49.03
188,9.0189,21.88,48.89
189,8.7453,21.89,48.75
190,9.0076,21.90,48.61
191,9.1731,21.91,48.47
192,8.7901,21.92,48.34
193,9.1026,21.93,48.20
194,8.3756,21.94,48.06
195,8.1087,21.95,47.93
196,9.7878,21.96,47.79
197,11.0658,21.97,47.66
198,7.3565,21.98,47.53
199,10.0981,21.99,47.40
200,8.2577,22.00,47.26
201,8.5583,22.01,47.13
202,10.8797,22.02,47.00
203,9.1778,22.03,46.87
204,12.2285,22.04,46.75
205,9.0425,22.05,46.62
206,9.6834,22.06,46.49
207,8.6724,22.07,46.37
208,8.8450,22.08,46.24
209,9.9997,22.09,46.12
210,9.3573,22.10,46.00
211,10.6706,22.11,45.88
212,8.9314,22.12,45.76
213,7.3790,22.13,45.64
214,9.5252,22.14,45.53
215,9.6565,22.15,45.41
216,10.7684,22.16,45.30
217,8.3731,22.17,45.19
218,9.2190,22.18,45.07
219,6.7394,22.19,44.97
220,10.3871,22.20,44.86
221,7.7868,22.21,44.75
222,6.5821,22.22,44.65
223,9.6726,22.23,44.54
224,11.0333,22.24,44.44
225,7.6780,22.25,44.34
226,7.7738,22.26,44.25
227,8.3514,22.27,44.15
228,7.7156,22.28,44.05
229,9.7745,22.29,43.96
230,8.5654,22.30,43.87
231,8.3382,22.31,43.78
232,10.4832,22.32,43.70
233,8.6863,22.33,43.61
234,10.8666,22.34,43.53
235,7.7916,22.35,43.45
236,8.2680,22.36,43.37
237,7.0921,22.37,43.29
238,12.0655,22.38,43.22
239,8.6441,22.39,43.14
240,9.7457,22.40,43.07
241,9.7992,22.41,43.00
242,9.7660,22.42,42.94
243,9.6759,22.43,42.87
244,12.0330,22.44,42.81
245,8.5954,22.45,42.75
246,7.4901,22.46,42.69
247,7.4576,22.47,42.64
248,7.5538,22.48,42.58
249,9.8927,22.49,42.53
250,9.5422,22.50,42.48
251,8.1107,22.51,42.44
252,8.1889,22.52,42.39
253,9.1246,22.53,42.35
