time_s,ch4_ppm,temp_C,humidity_pct
0,1.5928,20.00,50.00
1,1.5999,20.01,50.14
2,2.0111,20.02,50.28
3,1.5851,20.03,50.42
4,1.9498,20.04,50.56
5,2.0513,20.05,50.70
6,1.6469,20.06,50.84
7,1.9570,20.07,50.97
8,2.4988,20.08,51.11
9,2.0286,20.09,51.25
10,1.6860,20.10,51.39
11,1.8927,20.11,51.53
12,1.5892,20.12,51.66
13,2.0159,20.13,51.80
14,2.2292,20.14,51.94
15,1.6285,20.15,52.07
16,1.8484,20.16,52.21
17,2.3227,20.17,52.34
18,1.7482,20.18,52.47
19,1.9948,20.19,52.60
20,1.5629,20.20,52.74
21,1.6376,20.21,52.87
22,1.7487,20.22,53.00
23,2.6951,20.23,53.13
24,1.7916,20.24,53.25
25,1.7507,20.25,53.38
26,1.7406,20.26,53.51
27,1.8811,20.27,53.63
28,2.1701,20.28,53.76
29,2.0083,20.29,53.88
30,2.6636,20.30,54.00
31,2.0197,20.31,54.12
32,2.4529,20.32,54.24
33,2.0446,20.33,54.36
34,2.1611,20.34,54.47
35,1.4453,20.35,54.59
36,1.9075,20.36,54.70
37,1.9293,20.37,54.81
38,1.8698,20.38,54.93
39,1.2027,20.39,55.03
40,2.2659,20.40,55.14
41,1.8236,20.41,55.25
42,1.8072,20.42,55.35
43,1.8726,20.43,55.46
44,1.8835,20.44,55.56
45,2.1072,20.45,55.66
46,1.5212,20.46,55.75
47,1.6416,20.47,55.85
48,2.0706,20.48,55.95
49,2.0213,20.49,56.04
50,1.8399,20.50,56.13
51,1.7722,20.51,56.22
52,1.6824,20.52,56.30
53,1.9554,20.53,56.39
54,2.3905,20.54,56.47
55,1.6083,20.55,56.55
56,2.5132,20.56,56.63
57,2.2768,20.57,56.71
58,1.8242,20.58,56.78
59,2.2582,20.59,56.86
60,1.4724,20.60,56.93
61,1.3808,20.61,57.00
62,1.5368,20.62,57.06
63,1.8462,20.63,57.13
64,1.8771,20.64,57.19
65,1.8120,20.65,57.25
66,2.0284,20.66,57.31
67,1.2477,20.67,57.36
68,2.1697,20.68,57.42
69,1.5009,20.69,57.47
70,1.7677,20.70,57.52
71,1.8559,20.71,57.56
72,1.5970,20.72,57.61
73,1.5232,20.73,57.65
74,1.6522,20.74,57.69
75,2.0015,20.75,57.73
76,2.2135,20.76,57.76
77,2.2058,20.77,57.79
78,1.6615,20.78,57.83
79,1.7338,20.79,57.85
80,1.6900,20.80,57.88
81,2.1709,20.81,57.90
82,1.3017,20.82,57.92
83,2.4495,20.83,57.94
84,1.8477,20.84,57.96
85,1.7444,20.85,57.97
86,2.1387,20.86,57.98
87,2.3826,20.87,57.99
88,2.1424,20.88,58.00
89,2.3922,20.89,58.00
90,2.0720,20.90,58.00
91,2.4566,20.91,58.00
92,2.4633,20.92,58.00
93,1.9939,20.93,57.99
94,2.5337,20.94,57.98
95,2.0889,20.95,57.97
96,2.0629,20.96,57.96
97,1.7112,20.97,57.94
98,1.9339,20.98,57.92
99,2.3083,20.99,57.90
100,1.5780,21.00,57.88
101,2.2660,21.01,57.85
102,2.1618,21.02,57.83
103,2.1381,21.03,57.79
104,1.2699,21.04,57.76
105,2.0073,21.05,57.73
106,2.2715,21.06,57.69
107,1.7787,21.07,57.65
108,2.0786,21.08,57.61
109,1.2158,21.09,57.56
110,2.2843,21.10,57.52
111,1.8186,21.11,57.47
112,2.3566,21.12,57.42
113,1.4078,21.13,57.36
114,2.2962,21.14,57.31
115,1.9721,21.15,57.25
116,2.3389,21.16,57.19
117,1.7333,21.17,57.13
