distance_m,sigma_y_class1,sigma_y_class2,sigma_y_class3,sigma_y_class4,sigma_y_class5,sigma_y_class6,sigma_z_class1,sigma_z_class2,sigma_z_class3,sigma_z_class4,sigma_z_class5,sigma_z_class6
1,0.2200,0.1600,0.1100,0.0800,0.0600,0.0400,0.2000,0.1200,0.0800,0.0600,0.0300,0.0160
2,0.4400,0.3200,0.2200,0.1600,0.1200,0.0800,0.4000,0.2400,0.1600,0.1198,0.0600,0.0320
3,0.6599,0.4799,0.3300,0.2400,0.1800,0.1200,0.6000,0.3600,0.2399,0.1796,0.0899,0.0480
4,0.8798,0.6399,0.4399,0.3199,0.2400,0.1600,0.8000,0.4800,0.3199,0.2393,0.1199,0.0639
5,1.0997,0.7998,0.5499,0.3999,0.2999,0.2000,1.0000,0.6000,0.3998,0.2989,0.1498,0.0799
6,1.3196,0.9597,0.6598,0.4799,0.3599,0.2399,1.2000,0.7200,0.4797,0.3584,0.1797,0.0958
7,1.5395,1.1196,0.7697,0.5598,0.4199,0.2799,1.4000,0.8400,0.5596,0.4178,0.2096,0.1118
8,1.7593,1.2795,0.8796,0.6397,0.4798,0.3199,1.6000,0.9600,0.6395,0.4771,0.2394,0.1277
9,1.9791,1.4394,0.9896,0.7197,0.5398,0.3598,1.8000,1.0800,0.7194,0.5364,0.2693,0.1436
10,2.1989,1.5992,1.0995,0.7996,0.5997,0.3998,2.0000,1.2000,0.7992,0.5956,0.2991,0.1595
11,2.4187,1.7590,1.2093,0.8795,0.6596,0.4398,2.2000,1.3200,0.8790,0.6546,0.3289,0.1754
12,2.6384,1.9188,1.3192,0.9594,0.7196,0.4797,2.4000,1.4400,0.9589,0.7136,0.3587,0.1913
13,2.8581,2.0786,1.4291,1.0393,0.7795,0.5197,2.6000,1.5600,1.0387,0.7725,0.3885,0.2072
14,3.0778,2.2384,1.5389,1.1192,0.8394,0.5596,2.8000,1.6800,1.1184,0.8313,0.4182,0.2231
15,3.2975,2.3982,1.6488,1.1991,0.8993,0.5996,3.0000,1.8000,1.1982,0.8900,0.4480,0.2389
16,3.5172,2.5580,1.7586,1.2790,0.9592,0.6395,3.2000,1.9200,1.2780,0.9487,0.4777,0.2548
17,3.7368,2.7177,1.8684,1.3588,1.0191,0.6794,3.4000,2.0400,1.3577,1.0072,0.5074,0.2706
18,3.9564,2.8774,1.9782,1.4387,1.0790,0.7194,3.6000,2.1600,1.4374,1.0657,0.5371,0.2865
19,4.1760,3.0371,2.0880,1.5186,1.1389,0.7593,3.8000,2.2800,1.5171,1.1241,0.5668,0.3023
20,4.3956,3.1968,2.1978,1.5984,1.1988,0.7992,4.0000,2.4000,1.5968,1.1824,0.5964,0.3181
21,4.6152,3.3565,2.3076,1.6782,1.2587,0.8391,4.2000,2.5200,1.6765,1.2406,0.6261,0.3339
22,4.8347,3.5161,2.4173,1.7581,1.3186,0.8790,4.4000,2.6400,1.7561,1.2987,0.6557,0.3497
