time,ppm,temperature,humidity
0.000,1.9004,20.000,50.000
1.000,1.9954,20.052,49.895
2.000,1.8293,20.105,49.790
3.000,1.6501,20.157,49.685
4.000,1.7867,20.210,49.581
5.000,1.6313,20.262,49.476
6.000,1.9527,20.314,49.371
7.000,2.3424,20.367,49.266
8.000,1.7985,20.419,49.162
9.000,1.7658,20.471,49.057
10.000,2.1046,20.524,48.953
11.000,2.0705,20.576,48.849
12.000,2.0008,20.628,48.745
13.000,1.6958,20.680,48.641
14.000,1.9719,20.732,48.537
15.000,2.1950,20.783,48.433
16.000,1.5889,20.835,48.330
17.000,1.8606,20.887,48.226
18.000,1.4333,20.938,48.123
19.000,1.6225,20.990,48.020
20.000,1.4626,21.041,47.917
21.000,1.9503,21.093,47.815
22.000,1.6463,21.144,47.713
23.000,2.1137,21.195,47.611
24.000,2.0850,21.245,47.509
25.000,1.9876,21.296,47.408
26.000,1.2944,21.347,47.306
27.000,1.8935,21.397,47.206
28.000,2.0462,21.448,47.105
29.000,2.1005,21.498,47.005
30.000,1.6131,21.548,46.905
31.000,1.9345,21.597,46.805
32.000,1.7900,21.647,46.706
33.000,1.8465,21.696,46.607
34.000,2.4131,21.746,46.509
35.000,1.8582,21.795,46.411
36.000,2.0964,21.844,46.313
37.000,2.3771,21.892,46.216
38.000,1.9423,21.941,46.119
39.000,2.0895,21.989,46.022
40.000,2.1618,22.037,45.926
41.000,2.1534,22.085,45.831
42.000,1.7723,22.132,45.736
43.000,2.1683,22.180,45.641
44.000,2.5586,22.227,45.547
45.000,1.6924,22.273,45.453
46.000,2.4199,22.320,45.360
47.000,2.2035,22.366,45.267
48.000,1.9808,22.412,45.175
49.000,2.7789,22.458,45.084
50.000,2.4130,22.504,44.992
51.000,1.8300,22.549,44.902
52.000,2.2177,22.594,44.812
53.000,2.3738,22.639,44.723
54.000,2.1496,22.683,44.634
55.000,2.4166,22.727,44.546
56.000,2.1973,22.771,44.458
57.000,2.4228,22.815,44.371
58.000,2.6597,22.858,44.285
59.000,2.0308,22.901,44.199
60.000,2.2999,22.943,44.114
61.000,2.1054,22.985,44.029
62.000,2.2879,23.027,43.945
63.000,1.8990,23.069,43.862
64.000,2.0867,23.110,43.780
65.000,2.2070,23.151,43.698
66.000,2.5408,23.192,43.617
67.000,2.6201,23.232,43.536
68.000,1.8848,23.272,43.457
69.000,2.0488,23.311,43.378
70.000,2.4865,23.350,43.300
71.000,1.7000,23.389,43.222
72.000,2.1640,23.427,43.145
73.000,2.2790,23.465,43.069
74.000,2.6906,23.503,42.994
75.000,2.5255,23.540,42.920
76.000,2.2257,23.577,42.846
77.000,2.2185,23.613,42.773
78.000,2.2592,23.650,42.701
79.000,2.7965,23.685,42.630
80.000,2.2162,23.720,42.559
81.000,2.2586,23.755,42.490
82.000,2.4606,23.790,42.421
83.000,2.3237,23.824,42.353
84.000,2.3058,23.857,42.286
85.000,2.0359,23.890,42.219
86.000,2.3717,23.923,42.154
87.000,2.2471,23.955,42.089
88.000,2.7350,23.987,42.025
89.000,2.5861,24.019,41.963
90.000,2.3879,24.050,41.901
91.000,2.6007,24.080,41.840
92.000,2.3032,24.110,41.779
93.000,2.7257,24.140,41.720
